# UNIT NOTE (E1 / AN-P1-1, FIX-E M-11). `gross_index_vega` below is DOLLARS OF
# INDEX-LEG GROSS VEGA PER ONE VOL POINT (a 0.01 move in sigma). Before E1 the
# surface/projected route read the same key as dollars per UNIT vol, so the
# value 10000 built a book 100x SMALLER on that route than on the listed one.
# The value here is DELIBERATELY LEFT at 10000: it is the number the coordinated
# golden re-pin is being taken at. A run from this spec therefore produces a book
# 100x larger than any output archived before E1 — treat pre-E1 artifacts from
# this spec as stale rather than comparable. See atx-vol/CHANGELOG.md.
key	value
label	SPY listed-options dispersion SEC top-50 core gate
date_lo	2026-01-02
date_hi	2026-03-31
snapshot_suffix	T19:55:00Z
opra_root	C:/atx-data/spy-dispersion-core/opra
path_template	{symbol}/{date}.parquet
universe_schedule	spy_dispersion_core_universe.tsv
definitions	C:/atx-data/spy-dispersion-core/spy_dispersion_definitions.tsv
occ_ess_root	C:/atx-data/spy-dispersion-core/occ-ess
flat_rate	0.043
min_names	40
min_weight_coverage	0.8
target_dte_days	30
min_dte_days	21
max_dte_days	60
roll_dte_days	7
gross_index_vega	10000
delta_band	0
fit_workers	0
core_mode	1
